"tract","Name","Employment_Rate_rP_gP_pall"
18089030700,"East Chicago, IN",0.8172
17031807500,"Skokie, IL",0.8171
17031821700,"Evergreen Park, IL",0.817
17031812802,"Oak Park, IL",0.8166
17043844602,"Elmhurst, IL",0.8166
17031750200,"South Side, Chicago, IL",0.8165
17031811800,"Northlake, IL",0.8158
17031821102,"Oak Lawn, IL",0.8158
17031750400,"Kennedy Park, Chicago, IL",0.8158
17031240500,"West Town, Chicago, IL",0.8158
17031805902,"Niles, IL",0.8157
17043843400,"Lombard, IL",0.8157
17031820104,"Countryside, IL",0.8157
17031818900,"La Grange Park, IL",0.8156
17043845200,"Hinsdale, IL",0.8152
17031100300,"Norwood Park, Chicago, IL",0.8151
17043840703,"Bensenville, IL",0.8149
17031640100,"South Side, Chicago, IL",0.8143
17197881001,"Lockport, IL",0.8139
17031812000,"River Forest, IL",0.8134
17031842000,"Bronzeville, Chicago, IL",0.8133
18089030500,"East Chicago, IN",0.8129
17031823705,"Hickory Hills, IL",0.8128
17043844201,"Lombard, IL",0.8126
18089020100,"Whiting, IN",0.8126
17031050900,"North Center, Chicago, IL",0.8125
17031170600,"Dunning, Chicago, IL",0.8125
17031063000,"Lake View, Chicago, IL",0.8125
17031691000,"South Side, Chicago, IL",0.8123
17031819000,"La Grange Park, IL",0.8122
17031812900,"Oak Park, IL",0.8121
17031822000,"Hometown, IL",0.8121
17031120200,"Edgebrook, Chicago, IL",0.812
17031700302,"Ashburn, Chicago, IL",0.812
17031061000,"Lake View, Chicago, IL",0.8119
17043845701,"Downers Grove, IL",0.8119
17043844100,"Elmhurst, IL",0.8118
17031815800,"Hollywood, Brookfield, IL",0.8118
17031740400,"Mount Greenwood, Chicago, IL",0.8114
17031805801,"Park Ridge, IL",0.8113
17043843100,"Villa Park, IL",0.8112
17031813200,"Oak Park, IL",0.8108
17031807400,"Skokie, IL",0.8106
17043846702,"Addison, IL",0.8106
17043844902,"Downers Grove, IL",0.8103
17043843200,"Villa Park, IL",0.8103
17043845510,"Westmont, IL",0.8102
17031110100,"Jefferson Park, Chicago, IL",0.8102
17031823200,"Alsip, IL",0.8101
17043844401,"Downers Grove, IL",0.8101
