"tract","Name","Employment_Rate_rP_gP_p75"
24033807408,"Beltsville, MD",0.8476
24025303204,"Forest Hill, MD",0.8476
24027605602,"Hickory Ridge, Columbia, MD",0.8475
24005401000,"Catonsville, MD",0.8475
24005403100,"Gwynn Oak, Pikesville, MD",0.8475
24031701421,"Silver Spring, MD",0.847
24510270600,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.8468
24025303400,"Fallston, MD",0.8467
24005405000,"Upperco, MD",0.8467
24003751600,"Annapolis, MD",0.8466
24025301401,"Harford County, MD",0.8465
24003730502,"South Gate, Glen Burnie, MD",0.8463
24031703000,"South Four Corners, Silver Spring, MD",0.8462
24005404404,"Reisterstown, MD",0.8462
24027605502,"Harper's Choice, Columbia, MD",0.8461
24510280200,"Gwynn Oak, Baltimore, MD",0.8461
24033800401,"Bowie, MD",0.8458
24031701415,"Silver Spring, MD",0.8458
24005452000,"Sparrows Point, MD",0.8458
24025303102,"Churchville, MD",0.8457
24005451200,"Middle River, MD",0.8456
24510260102,"Frankford, Baltimore, MD",0.8455
24005452100,"Sparrows Point, MD",0.8454
24031701317,"Brookeville, MD",0.845
24005400900,"Catonsville, MD",0.845
24510200702,"Saint Joseph's, Baltimore, MD",0.8449
24033806713,"Greenbelt, MD",0.8447
24003750201,"Brooklyn, Baltimore, MD",0.8446
24033806712,"Greenbelt, MD",0.8443
24003750801,"Glen Burnie, MD",0.844
24025303803,"Bel Air, MD",0.8439
24005401503,"Catonsville, MD",0.8438
24003751103,"Glen Burnie, MD",0.8433
24005400702,"Baltimore, MD",0.8433
24033805904,"Hyattsville, MD",0.8432
24003740800,"Gambrills, MD",0.8431
24005402202,"Baltimore County, MD",0.8431
24005400800,"Catonsville, MD",0.8429
24005408400,"Cockeysville, MD",0.8427
24031701409,"Burtonsville, MD",0.8426
24510090300,"Ednor Gardens - Lakeside, Baltimore, MD",0.8426
24031701602,"Silver Spring, MD",0.8423
24003731102,"Arnold, MD",0.842
24027603004,"Ellicott City, MD",0.842
24027606607,"Long Reach, Columbia, MD",0.8418
24005402307,"Pikesville, MD",0.8417
24005420500,"Baltimore, MD",0.8415
24005411404,"Parkville, MD",0.8412
24510270102,"Waltherson, Baltimore, MD",0.841
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.841
24031701423,"Silver Spring, MD",0.8409
24025301602,"Edgewood, MD",0.8406
24027602305,"Ellicott City, MD",0.8406
24031701420,"Silver Spring, MD",0.8401
24005408601,"Lutherville-Timonium, MD",0.8398
24033800408,"Glenn Dale, MD",0.8395
24510270502,"North Harford Road, Baltimore, MD",0.8394
24005441101,"Rosedale, MD",0.8392
24025303602,"Bel Air, MD",0.839
24025303206,"Bel Air, MD",0.8385
24005491201,"Towson, MD",0.8383
24027601105,"Ellicott City, MD",0.8381
24033800211,"Laurel, MD",0.838
24003731103,"Arnold, MD",0.8379
24027606606,"Long Reach, Columbia, MD",0.8377
24005411302,"White Marsh, MD",0.8372
24013514100,"Eldersburg, MD",0.8371
24005401101,"Woodlawn, MD",0.8371
24005402306,"Windsor Mill, Baltimore, MD",0.8369
24003751400,"Severn, MD",0.8368
24031701506,"Silver Spring, MD",0.8367
24005411407,"Parkville, MD",0.8365
24005420302,"Dundalk, MD",0.8364
24033800210,"Laurel, MD",0.8361
24005451803,"Middle River, MD",0.8356
24005491600,"Parkville, MD",0.8356
24025301704,"Belcamp, MD",0.8353
24003731310,"Green Haven, Pasadena, MD",0.8353
24510190300,"Mount Clare, Baltimore, MD",0.8352
24510260900,"Baltimore, MD",0.8352
24027605103,"Highland, MD",0.835
24510080101,"Belair - Edison, Baltimore, MD",0.835
24013504202,"Westminster, MD",0.8349
24005408100,"Sparks Glencoe, MD",0.8348
24027605601,"Hickory Ridge, Columbia, MD",0.8346
24005451802,"Middle River, MD",0.8345
24510280500,"Pleasant View Gardens, Baltimore, MD",0.8344
24005402603,"Randallstown, MD",0.8344
24005411309,"Perry Hall, MD",0.8344
24005420900,"Dundalk, MD",0.8342
24005401507,"Windsor Mill, Baltimore, MD",0.834
24031701507,"Silver Spring, MD",0.834
24025303700,"Bel Air, MD",0.834
24005404101,"Owings Mills, MD",0.834
24031701503,"Silver Spring, MD",0.8339
24510080700,"Broadway East, Baltimore, MD",0.8337
24510150800,"Garwyn Oaks, Baltimore, MD",0.8335
24005402506,"Randallstown, MD",0.8334
24003740201,"South Gate, Glen Burnie, MD",0.8333
24510150900,"Windsor Hills, Baltimore, MD",0.8332
24005440100,"Baltimore, MD",0.8331
24013505101,"Sykesville, MD",0.8329
24005410100,"Phoenix, MD",0.8327
24003702205,"Crofton, MD",0.8323
24025304202,"Forest Hill, MD",0.8322
24033807301,"College Park, MD",0.8322
24005450100,"Rosedale, MD",0.8318
24005400500,"Catonsville, MD",0.8318
24005440500,"Nottingham, MD",0.8317
24003731201,"Severna Park, MD",0.8317
24003740601,"Fort Meade, MD",0.8317
24005411409,"Nottingham, MD",0.8316
24510010200,"Patterson Park, Baltimore, MD",0.8316
24005490301,"Towson, MD",0.8315
24033800102,"Laurel, MD",0.8315
24003702209,"Crofton, MD",0.8314
24510160400,"Midtown Edmondson, Baltimore, MD",0.8314
24510270802,"Ramblewood, Baltimore, MD",0.8314
24510120400,"Barclay, Baltimore, MD",0.8313
24510130806,"Woodberry, Baltimore, MD",0.8311
24005440200,"Nottingham, MD",0.8311
24025303502,"Bel Air, MD",0.831
24033806706,"Greenbelt, MD",0.831
24510250402,"Brooklyn, Baltimore, MD",0.8309
24027606906,"Laurel, MD",0.8308
24003740305,"Odenton, MD",0.8307
24003702701,"Annapolis, MD",0.8306
24003731003,"Annapolis, MD",0.8304
24005402407,"Windsor Mill, Milford Mill, MD",0.83
24005451702,"Middle River, MD",0.8299
24005408507,"Cockeysville, MD",0.8299
24033800410,"Bowie, MD",0.8295
24005408200,"Cockeysville, MD",0.8294
24033800409,"Bowie, MD",0.8293
24510270803,"Loch Raven, Baltimore, MD",0.829
24033800214,"Laurel, MD",0.8289
24027606907,"Laurel, MD",0.8289
24003731309,"Riviera Beach, MD",0.8287
24013505206,"Marriottsville, MD",0.8287
24005401200,"Woodlawn, MD",0.8284
24031701410,"Burtonsville, MD",0.8284
24510280402,"Rognel Heights, Baltimore, MD",0.8283
24005430600,"Relay, Halethorpe, MD",0.8282
24031701505,"Silver Spring, MD",0.8279
24027602302,"Columbia, MD",0.8278
24027601108,"Ellicott City, MD",0.8276
24510271600,"Edgecomb, Baltimore, MD",0.8275
24005492002,"Parkville, MD",0.8275
24013507602,"Westminster, MD",0.8273
24005440400,"Baltimore, MD",0.8272
24005411202,"Glen Arm, MD",0.8268
24005490100,"Towson, MD",0.8261
24003731104,"Arnold, MD",0.8259
24005411306,"Nottingham, MD",0.8258
24027606704,"Owen Brown, Columbia, MD",0.8258
24027601103,"West Elkridge, Elkridge, MD",0.8256
24005411408,"Nottingham, MD",0.8256
24510270302,"Waltherson, Baltimore, MD",0.8254
24033806800,"Berwyn Heights, MD",0.8253
24005402403,"Gwynn Oak, Baltimore, MD",0.8252
24510270902,"Perring Loch, Baltimore, MD",0.8249
