"tract","Name","Employment_Rate_rP_gP_p50"
17031051200,"North Center, Chicago, IL",0.8183
17031822601,"Oak Lawn, IL",0.8183
17031191302,"Belmont Central, Chicago, IL",0.8182
17031251400,"Austin, Chicago, IL",0.8179
17031806502,"Des Plaines, IL",0.8176
17031711500,"Auburn Gresham, Chicago, IL",0.8176
17031100500,"Norwood Park, Chicago, IL",0.8172
17031600600,"Bridgeport, Chicago, IL",0.8172
17031824702,"Midlothian, IL",0.8171
17031061800,"Boystown, Chicago, IL",0.817
17031824601,"Midlothian, IL",0.817
17031812302,"Oak Park, IL",0.8169
17031071200,"Lincoln Park, Chicago, IL",0.8168
17031810301,"Evanston, IL",0.8167
17043844501,"Villa Park, IL",0.8167
17043845704,"Downers Grove, IL",0.8166
17031824503,"Midlothian, IL",0.8162
17031815600,"North Riverside, IL",0.8158
17031720200,"Beverly, Chicago, IL",0.8158
17031630900,"Gage Park, Chicago, IL",0.8157
17031070101,"Lincoln Park, Chicago, IL",0.8154
17031812000,"River Forest, IL",0.8153
17031843200,"Heart of Chicago, Chicago, IL",0.8152
17031071100,"Lincoln Park, Chicago, IL",0.8152
17031230700,"Humboldt Park, Chicago, IL",0.8152
17031812802,"Oak Park, IL",0.8151
17031040700,"Lincoln Square, Chicago, IL",0.815
17043844801,"Downers Grove, IL",0.8147
17031030800,"Edgewater, Chicago, IL",0.8144
17031832300,"Bucktown, Chicago, IL",0.8143
17031807600,"Skokie, IL",0.8141
17031842300,"West Town, Chicago, IL",0.814
17031711400,"South Side, Chicago, IL",0.8137
17031050600,"North Center, Chicago, IL",0.8136
17031040401,"Lincoln Square, Chicago, IL",0.8135
17043845802,"Darien, IL",0.8134
17031191000,"Belmont Cragin, Chicago, IL",0.8134
17031630200,"Gage Park, Chicago, IL",0.8131
17043840802,"Bensenville, IL",0.8126
17031050700,"North Center, Chicago, IL",0.8123
17031460700,"South Chicago, Chicago, IL",0.8121
17031310200,"East Pilsen, Chicago, IL",0.8121
17031301803,"Little Village, Chicago, IL",0.8118
17043845807,"Downers Grove, IL",0.8118
17043842800,"Elmhurst, IL",0.8118
17043844602,"Elmhurst, IL",0.8117
17031750200,"South Side, Chicago, IL",0.8114
17031823904,"Palos Heights, IL",0.8114
17031190900,"Belmont Cragin, Chicago, IL",0.8111
17031700502,"Ashburn, Chicago, IL",0.8109
17031250200,"Austin, Chicago, IL",0.8108
17031813802,"Cicero, IL",0.8107
17031770300,"Elk Grove Village, IL",0.8105
17031241300,"West Town, Chicago, IL",0.8105
17031823604,"Palos Heights, IL",0.8105
17031040201,"Lincoln Square, Chicago, IL",0.8104
17043844802,"Downers Grove, IL",0.8103
17031640100,"South Side, Chicago, IL",0.8103
17031050800,"North Center, Chicago, IL",0.8103
17031050200,"North Center, Chicago, IL",0.8102
17031160700,"Irving Park East, Chicago, IL",0.8102
17031610300,"Back of the Yards, Chicago, IL",0.8102
17043845509,"Westmont, IL",0.8097
17031816300,"Melrose Park, IL",0.8094
17031260400,"Garfield Park, Chicago, IL",0.8092
17031840000,"Bridgeport, Chicago, IL",0.8091
17031222700,"Logan Square, Chicago, IL",0.8089
17031807400,"Skokie, IL",0.8088
17031805501,"Park Ridge, IL",0.8084
17031815300,"Chicago, IL",0.8082
17031351500,"Bronzeville, Chicago, IL",0.8082
17043840703,"Bensenville, IL",0.8082
17031281900,"Near West Side, Chicago, IL",0.8079
17031251100,"Austin, Chicago, IL",0.8076
18089020100,"Whiting, IN",0.8076
17031839700,"Bridgeport, Chicago, IL",0.8074
17031839800,"Bridgeport, Chicago, IL",0.8073
17031814300,"Cicero, IL",0.8072
17031630500,"Gage Park, Chicago, IL",0.8072
17031832500,"Lincoln Park, Chicago, IL",0.8071
17031671900,"Englewood, Chicago, IL",0.8071
17031825801,"Calumet City, IL",0.8071
17031390600,"Kenwood, Chicago, IL",0.807
17043843301,"Lombard, IL",0.807
17031160602,"Irving Park, Chicago, IL",0.8069
17031811701,"Melrose Park, IL",0.8069
17031818000,"Broadview, IL",0.8067
17031770201,"Elk Grove Village, IL",0.8067
17031838100,"Near West Side, Chicago, IL",0.8066
17031010701,"Rogers Park, Chicago, IL",0.8065
17031191301,"Belmont Cragin, Chicago, IL",0.8065
17031221200,"Logan Square, Chicago, IL",0.8063
17031820104,"Countryside, IL",0.8063
17031050900,"North Center, Chicago, IL",0.8062
17031250600,"Austin, Chicago, IL",0.8061
17031010503,"Rogers Park, Chicago, IL",0.8061
17031740400,"Mount Greenwood, Chicago, IL",0.806
17031230100,"Humboldt Park, Chicago, IL",0.806
17031170300,"Dunning, Chicago, IL",0.8059
17031822000,"Hometown, IL",0.8058
17031823805,"Palos Hills, IL",0.8057
17031040402,"Lincoln Square, Chicago, IL",0.8056
17031301701,"Little Village, Chicago, IL",0.8055
17031230800,"Humboldt Park, Chicago, IL",0.8055
17031060900,"Lake View East, Chicago, IL",0.8054
17031817000,"Bellwood, IL",0.8054
17031817400,"Maywood, IL",0.8053
17031840300,"McKinley Park, Chicago, IL",0.8053
17031150600,"Portage Park, Chicago, IL",0.8052
17031170700,"Belmont Heights, Chicago, IL",0.805
17031740100,"South Side, Chicago, IL",0.805
17031063000,"Lake View, Chicago, IL",0.8048
17031200200,"Belmont Gardens, Chicago, IL",0.8047
17031410800,"Hyde Park, Chicago, IL",0.8046
17043845805,"Burr Ridge, IL",0.8046
17031030900,"Edgewater, Chicago, IL",0.8046
17031820901,"Burbank, IL",0.8046
17031020902,"West Ridge, Chicago, IL",0.8044
17031823605,"Palos Heights, IL",0.8042
17031843900,"South Side, Chicago, IL",0.8042
17031816100,"Forest Park, IL",0.8041
17031823901,"Palos Park, IL",0.8041
17031381200,"Bronzeville, Chicago, IL",0.804
17031250700,"Austin, Chicago, IL",0.804
17031570200,"Archer Heights, Chicago, IL",0.804
17031250400,"Austin, Chicago, IL",0.8039
17197881001,"Lockport, IL",0.8037
17031150401,"Portage Park, Chicago, IL",0.8035
17031480300,"South Side, Chicago, IL",0.8034
17031805111,"Des Plaines, IL",0.8032
17031640500,"South Side, Chicago, IL",0.8032
17031510100,"South Deering, Chicago, IL",0.8032
17031820201,"Burr Ridge, IL",0.8031
17031814400,"Cicero, IL",0.8031
17031818600,"La Grange Park, IL",0.803
17031170600,"Dunning, Chicago, IL",0.8029
17031816200,"Melrose Park, IL",0.8029
17031711300,"Auburn Gresham, Chicago, IL",0.8028
17031660500,"South Side, Chicago, IL",0.8028
17031600400,"Bridgeport, Chicago, IL",0.8028
17043844001,"Elmhurst, IL",0.8027
17031440201,"South Side, Chicago, IL",0.8025
17031300500,"Little Village, Chicago, IL",0.8024
17031817900,"Broadview, IL",0.8023
17043846702,"Addison, IL",0.8023
17031520200,"East Side, Chicago, IL",0.8023
