"tract","Name","Employment_Rate_rP_gP_p75"
17031050200,"North Center, Chicago, IL",0.8666
17031090300,"Edison Park, Chicago, IL",0.8664
17031071300,"Lincoln Park, Chicago, IL",0.8663
17031819801,"Western Springs, IL",0.8662
17031620200,"South Side, Chicago, IL",0.866
17031520300,"East Side, Chicago, IL",0.8659
17043845000,"Westmont, IL",0.8658
17031814200,"Cicero, IL",0.8658
17031823605,"Palos Heights, IL",0.8657
17031660500,"South Side, Chicago, IL",0.8656
17031822602,"Oak Lawn, IL",0.8653
17031640100,"South Side, Chicago, IL",0.8653
17031243100,"West Town, Chicago, IL",0.8653
17031832500,"Lincoln Park, Chicago, IL",0.8651
17031191200,"Belmont Cragin, Chicago, IL",0.8649
17031150800,"Portage Park, Chicago, IL",0.8649
17031100200,"Norwood Park, Chicago, IL",0.8648
17031070200,"Lincoln Park, Chicago, IL",0.8647
17031824115,"Orland Park, IL",0.8647
17031822802,"Oak Lawn, IL",0.8646
17031808302,"Morton Grove, IL",0.8646
17031460700,"South Chicago, Chicago, IL",0.8645
17031711500,"Auburn Gresham, Chicago, IL",0.8643
17031620100,"South Side, Chicago, IL",0.8641
17043843800,"Villa Park, IL",0.8641
17043844901,"Downers Grove, IL",0.8638
17031740300,"South Side, Chicago, IL",0.8637
17031820300,"Summit, IL",0.8637
17031826800,"Dixmoor, IL",0.8634
17031242900,"West Town, Chicago, IL",0.8631
17031630800,"South Side, Chicago, IL",0.8631
17031807600,"Skokie, IL",0.863
17031560700,"Garfield Ridge, Chicago, IL",0.863
17031740200,"Mount Greenwood, Chicago, IL",0.8624
17031160601,"Irving Park, Chicago, IL",0.8621
17031814300,"Cicero, IL",0.862
17031805502,"Park Ridge, IL",0.8619
17031816401,"Melrose Park, IL",0.8612
17031840800,"Little Village, Chicago, IL",0.8612
17031650301,"South Side, Chicago, IL",0.8611
17031823801,"Palos Park, IL",0.861
18089030200,"East Chicago, IN",0.8609
17043845802,"Darien, IL",0.8608
17031670500,"Englewood, Chicago, IL",0.8606
17031150600,"Portage Park, Chicago, IL",0.8604
17031823400,"Blue Island, IL",0.8604
17031160700,"Irving Park East, Chicago, IL",0.8602
17031440700,"South Side, Chicago, IL",0.8602
17031822301,"Oak Lawn, IL",0.8602
17031823002,"Chicago Ridge, IL",0.8602
17031813802,"Cicero, IL",0.8602
17031805112,"Des Plaines, IL",0.8601
17031806502,"Des Plaines, IL",0.8598
17031824114,"Orland Park, IL",0.8598
17043845702,"Downers Grove, IL",0.8596
17031770901,"Harwood Heights, IL",0.8594
17031060400,"Lake View, Chicago, IL",0.859
17031190200,"Belmont Cragin, Chicago, IL",0.8588
17031823200,"Alsip, IL",0.8588
17031823704,"Hickory Hills, IL",0.8588
17031250500,"Austin, Chicago, IL",0.8587
17031090100,"Edison Park, Chicago, IL",0.8586
17031838100,"Near West Side, Chicago, IL",0.8584
17031826402,"Dolton, IL",0.8582
17031191000,"Belmont Cragin, Chicago, IL",0.8578
17031811402,"Franklin Park, IL",0.8577
17031815300,"Chicago, IL",0.8574
17031191301,"Belmont Cragin, Chicago, IL",0.8574
17031820902,"Burbank, IL",0.8573
